city_name,county_name,town_name,총세대수,연령구간세대수,20~24세,25~29세,30~34세,35~39세,남_총세대수,남_연령구간세대수,남_20~24세,남_25~29세,남_30~34세,남_35~39세,여_총세대수,여_연령구간세대수,여_20~24세,여_25~29세,여_30~34세,여_35~39세
서울시,종로구,중학동,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
서울시,종로구,종로1가,52,17,2,5,6,4,33,10,1,2,5,2,19,7,1,3,1,2
서울시,종로구,공평동,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울시,종로구,관훈동,77,18,2,6,5,5,51,14,2,4,5,3,26,4,0,2,0,2
서울시,종로구,견지동,60,16,0,3,7,6,28,7,0,3,2,2,32,9,0,0,5,4
서울시,종로구,와룡동,37,0,0,0,0,0,27,0,0,0,0,0,10,0,0,0,0,0
서울시,종로구,권농동,48,7,0,1,3,3,31,4,0,0,3,1,17,3,0,1,0,2
서울시,종로구,운니동,98,39,5,17,9,8,65,24,3,9,8,4,33,15,2,8,1,4
서울시,종로구,익선동,562,232,23,84,76,49,343,145,9,47,55,34,219,87,14,37,21,15
서울시,종로구,경운동,168,76,9,26,30,11,83,40,3,11,21,5,85,36,6,15,9,6
서울시,종로구,관철동,205,115,16,44,36,19,151,74,7,28,27,12,54,41,9,16,9,7
서울시,종로구,인사동,55,7,0,3,1,3,37,4,0,2,1,1,18,3,0,1,0,2
서울시,종로구,낙원동,479,116,19,47,25,25,348,74,9,30,16,19,131,42,10,17,9,6
서울시,종로구,종로2가,56,19,4,4,8,3,31,8,1,3,3,1,25,11,3,1,5,2
서울시,종로구,팔판동,52,12,1,1,7,3,27,8,0,0,6,2,25,4,1,1,1,1
서울시,종로구,삼청동,325,109,11,40,33,25,158,64,9,22,19,14,167,45,2,18,14,11
서울시,종로구,안국동,78,20,3,3,6,8,35,13,1,3,4,5,43,7,2,0,2,3
서울시,종로구,소격동,20,5,0,0,2,3,10,2,0,0,0,2,10,3,0,0,2,1
서울시,종로구,화동,48,12,2,3,5,2,14,4,1,1,1,1,34,8,1,2,4,1
서울시,종로구,사간동,38,7,0,2,3,2,22,3,0,0,1,2,16,4,0,2,2,0
서울시,종로구,송현동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울시,종로구,가회동,261,56,3,9,26,18,103,25,1,5,10,9,158,31,2,4,16,9
서울시,종로구,재동,34,8,1,0,3,4,17,4,0,0,2,2,17,4,1,0,1,2
서울시,종로구,계동,222,54,2,17,15,20,94,31,1,9,10,11,128,23,1,8,5,9
서울시,종로구,원서동,392,149,12,36,66,35,169,60,3,15,27,15,223,89,9,21,39,20
서울시,종로구,훈정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울시,종로구,묘동,23,2,0,0,0,2,22,2,0,0,0,2,1,0,0,0,0,0
서울시,종로구,봉익동,34,7,0,3,2,2,30,6,0,2,2,2,4,1,0,1,0,0
서울시,종로구,돈의동,715,12,1,3,1,7,626,8,1,2,0,5,89,4,0,1,1,2
서울시,종로구,장사동,53,9,0,2,3,4,47,8,0,2,3,3,6,1,0,0,0,1
서울시,종로구,관수동,343,146,13,66,51,16,262,93,6,41,32,14,81,53,7,25,19,2
서울시,종로구,종로3가,118,35,3,7,13,12,100,30,3,7,11,9,18,5,0,0,2,3
서울시,종로구,인의동,240,125,27,48,33,17,125,54,6,20,20,8,115,71,21,28,13,9
서울시,종로구,예지동,22,1,0,0,1,0,13,0,0,0,0,0,9,1,0,0,1,0
서울시,종로구,원남동,306,221,49,109,41,22,129,86,15,37,25,9,177,135,34,72,16,13
서울시,종로구,연지동,676,494,113,218,128,35,368,238,32,111,70,25,308,256,81,107,58,10
서울시,종로구,종로4가,14,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
서울시,종로구,효제동,576,401,87,179,93,42,307,196,28,84,56,28,269,205,59,95,37,14
서울시,종로구,종로5가,189,65,12,31,17,5,101,23,2,14,5,2,88,42,10,17,12,3
